,temp_C,wind_speed,precip_mm
2022-12-01 00:00:00+00:00,,,0.0767227
2023-01-01 00:00:00+00:00,8.704818,2.9210668,5.6752105
2023-02-01 00:00:00+00:00,9.5744295,2.6966107,1.1509119
2023-03-01 00:00:00+00:00,13.185228,2.3975217,3.7062025
2023-04-01 00:00:00+00:00,17.220345,2.4312937,1.2616856
2023-05-01 00:00:00+00:00,18.492325,2.7248678,3.9349601
2023-06-01 00:00:00+00:00,22.456661,2.446803,4.1348486
2023-07-01 00:00:00+00:00,22.975235,3.027678,0.15067585
2023-08-01 00:00:00+00:00,24.704304,2.9240358,0.09211339
2023-09-01 00:00:00+00:00,20.479439,2.1161244,6.6170444
2023-10-01 00:00:00+00:00,19.046831,2.713343,15.570928
2023-11-01 00:00:00+00:00,13.485419,2.5845578,8.414364
2023-12-01 00:00:00+00:00,9.449137,2.1225858,4.324313
2024-01-01 00:00:00+00:00,11.044353,2.4253633,10.205574
2024-02-01 00:00:00+00:00,12.213984,3.1592119,8.233474
2024-03-01 00:00:00+00:00,12.359358,3.2825935,13.483627
2024-04-01 00:00:00+00:00,15.749171,2.5936751,4.2252946
2024-05-01 00:00:00+00:00,16.966503,2.8499677,2.0022588
2024-06-01 00:00:00+00:00,20.089758,2.3557613,3.5976825
2024-07-01 00:00:00+00:00,23.620619,2.4878716,0.5693587
2024-08-01 00:00:00+00:00,24.007065,2.698368,0.04687209
2024-09-01 00:00:00+00:00,19.844158,2.6748714,2.1141376
2024-10-01 00:00:00+00:00,17.265331,2.9615097,12.211219
2024-11-01 00:00:00+00:00,14.740292,2.7324786,4.7290206
2024-12-01 00:00:00+00:00,9.52321,2.5475736,0.76886976
2025-01-01 00:00:00+00:00,10.31534,3.187516,15.174277
2025-02-01 00:00:00+00:00,10.8762865,2.1505442,4.2393775
2025-03-01 00:00:00+00:00,11.545162,3.1744998,15.552023
2025-04-01 00:00:00+00:00,14.745592,2.919068,9.857448
2025-05-01 00:00:00+00:00,17.683569,2.4114704,4.0263267
2025-06-01 00:00:00+00:00,23.18124,2.2764318,0.96095514
2025-07-01 00:00:00+00:00,24.27643,2.6565032,0.30695364
2025-08-01 00:00:00+00:00,24.69873,2.3103194,0.25970033
2025-09-01 00:00:00+00:00,20.175098,2.6915758,1.7847056
2025-10-01 00:00:00+00:00,19.08924,2.2571056,8.06186
2025-11-01 00:00:00+00:00,12.0562105,2.8729286,14.291235
2025-12-01 00:00:00+00:00,9.5443,2.5942042,10.713474
2026-01-01 00:00:00+00:00,9.160499,3.566286,16.653347
2026-02-01 00:00:00+00:00,11.629962,3.8257205,19.38769
